,0,0
4812,Hg0.85Re0.15Ba2Ca2Cu3O8,132.9
2876,Hg0.8Pb0.2Ba2Ca2Cu3O8,132
4155,Hg0.85Re0.15Ba1.66Sr0.34Ca2Cu3O8,131.3
2665,Hg0.85Re0.15Ba1.6Sr0.4Ca2Cu3O8,130.3
2663,Hg0.9Pb0.1Ba2Ca2Cu3O8,130
5635,Hg0.85Re0.15Ba1.44Sr0.56Ca2Cu3O8,128.7
1670,Tl2Ba2Ca1Cu2O7.833,112
5225,Tl2Ba2Ca1Cu2O7.876,110
3947,Tl2Ba2Ca1Cu2O7,108
2853,Tl2Ba2Ca1Cu2O7.946,107
5324,Tl2Ba2Ca1Cu2O7.958,107
4984,Tl0.5Pb0.5Sr2Ca0.8Y0.2Cu2O7,105.2
1326,Tl2Ba2Ca0.8Ce0.2Cu2O8,103
1002,Tl1Ba2Ca0.65Y0.35Cu2O7,102
421,Tl2Ba2Ca0.9Ce0.1Cu2O8,100
4418,Tl1Ba2Ca0.8Nd0.2Cu2O6.86,100
2414,Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7,99.3
3430,Sr1.4Ba0.6Cu1O3.4,98
3779,Tl1Ba2Ca0.8Y0.2Cu2O7,97.6
876,Hg0.95Re0.05Ba2Cu1O4.372,97
3233,Hg0.9Re0.1Ba2Cu1O4.425,96.8
2081,Hg0.85Re0.15Ba2Cu1O4.53,96.3
3290,Tl1Ba2Ca0.8Nd0.2Cu2O7,96.3
5166,Hg0.85Re0.15Ba2Cu1O4.525,96.3
2681,Hg0.95Re0.05Ba2Cu1O4.37,96
289,Tl1Ba2Ca0.6Y0.4Cu2O7,95.8
1849,Tl1Ba2Ca0.7Nd0.3Cu2O7,95.5
4008,Nd1Ba2Cu3O7.16,95.3
1672,Tl2Ba2Ca1Cu2O7.978,95
4885,Nd1Ba2Cu3O6.82,95
5690,Eu1Ba2Cu3O7.1,94.9
4617,Hg0.85Re0.15Ba2Cu1O4.52,94.8
3771,Eu1Ba2Cu3O6.97,94.77
1348,Hg0.9Re0.1Ba2Cu1O4.41,94.5
4680,Hg0.9Re0.1Ba2Cu1O4.42,94.4
5137,Y1Ba2Cu2.95Co0.05O6.92,94.3
4649,Gd1Ba2Cu3O6.98,94.2
464,Bi2Sr1.9Y0.1Ca1Cu2O8.24,94
1959,Dy1Ba2Cu3O6.75,94
3896,Nd1Ba2Cu3O6.76,94
4520,Eu1Ba2Cu3O6.82,94
4856,Eu1Ba2Cu3O6.88,94
4953,Sm1Ba2Cu3O6.944,94
1035,Er0.97Pr0.03Ba2Cu3O7,93.9
1895,Y0.2Eu0.8Ba2Cu3O7,93.8
1490,Y1Ba1.7Cs0.3Cu3O6.6,93.75
2262,Hg0.85Re0.15Ba2Cu1O4.55,93.7
4423,Hg0.85Re0.15Ba2Cu1O4.49,93.7
2501,Y0.95La0.05Ba2Cu3O6.58,93.65
4811,Eu1Ba2Cu3O6.94,93.6
5552,Tl1Ba2Ca0.8Gd0.2Cu2O7,93.6
3422,Y1Ba1.9Cs0.1Cu3O6.65,93.45
5543,Y1Ba2Cu2.98Co0.02O6.9,93.4
547,Y1Ba1.9Rb0.1Cu3O6.52,93.35
1713,Y1Ba1.8Cs0.2Cu3O6.58,93.3
